name;id;horizon;archive_type;download;date;date_times;publication_date;taxonomy_terms;vocabularies
REE_AFRRCapacityBids;204;D;xml;{'name': 'REE_AFRRCapacityBids', 'url': '/archives/204/download?date=2025-03-06T23%3A59%3A59T%2B0100&locale=es'};{'date': '2025-03-06T23:59:59.000+01:00'};[];['2025-03-05'];[{'id_taxonomy_term': 156, 'name': 'Mercados y precios', 'vocabulary_id': 20}, {'id_taxonomy_term': 165, 'name': 'Descargas', 'vocabulary_id': 21}, {'id_taxonomy_term': 166, 'name': 'Regulación Secundaria', 'vocabulary_id': 22}];[{'id_vocabulary': 20, 'name': 'Universo'}, {'id_vocabulary': 21, 'name': 'Temática'}, {'id_vocabulary': 22, 'name': 'Área'}]
Resultado_Subasta_Mensual_POR;159;M;xls;{'name': 'Resultado_Subasta_Mensual_POR', 'url': '/archives/159/download?date=2025-03-06T23%3A59%3A59T%2B0100&locale=es'};{'date': '2025-03-06T23:59:59.000+01:00'};[];['2025-02-24'];[{'id_taxonomy_term': 156, 'name': 'Mercados y precios', 'vocabulary_id': 20}, {'id_taxonomy_term': 165, 'name': 'Descargas', 'vocabulary_id': 21}, {'id_taxonomy_term': 182, 'name': 'Subastas explícitas', 'vocabulary_id': 22}];[{'id_vocabulary': 20, 'name': 'Universo'}, {'id_vocabulary': 21, 'name': 'Temática'}, {'id_vocabulary': 22, 'name': 'Área'}]
Resultado_Subasta_Anual_POR;160;A;xls;{'name': 'Resultado_Subasta_Anual_POR', 'url': '/archives/160/download?date=2025-03-06T23%3A59%3A59T%2B0100&locale=es'};{'date': '2025-03-06T23:59:59.000+01:00'};[];['2024-12-12'];[{'id_taxonomy_term': 156, 'name': 'Mercados y precios', 'vocabulary_id': 20}, {'id_taxonomy_term': 165, 'name': 'Descargas', 'vocabulary_id': 21}, {'id_taxonomy_term': 182, 'name': 'Subastas explícitas', 'vocabulary_id': 22}];[{'id_vocabulary': 20, 'name': 'Universo'}, {'id_vocabulary': 21, 'name': 'Temática'}, {'id_vocabulary': 22, 'name': 'Área'}]
Resultado_Subasta_Trimestral_POR;161;T;xls;{'name': 'Resultado_Subasta_Trimestral_POR', 'url': '/archives/161/download?date=2025-03-06T23%3A59%3A59T%2B0100&locale=es'};{'date': '2025-03-06T23:59:59.000+01:00'};[];['2024-12-16'];[{'id_taxonomy_term': 156, 'name': 'Mercados y precios', 'vocabulary_id': 20}, {'id_taxonomy_term': 165, 'name': 'Descargas', 'vocabulary_id': 21}, {'id_taxonomy_term': 182, 'name': 'Subastas explícitas', 'vocabulary_id': 22}];[{'id_vocabulary': 20, 'name': 'Universo'}, {'id_vocabulary': 21, 'name': 'Temática'}, {'id_vocabulary': 22, 'name': 'Área'}]
Espec_Subasta_Trimestral_EP;149;T;pdf;{'name': 'Espec_Subasta_Trimestral_EP', 'url': '/archives/149/download?date=2025-03-06T23%3A59%3A59T%2B0100&locale=es'};{'date': '2025-03-06T23:59:59.000+01:00'};[];['2024-12-12'];[{'id_taxonomy_term': 156, 'name': 'Mercados y precios', 'vocabulary_id': 20}, {'id_taxonomy_term': 165, 'name': 'Descargas', 'vocabulary_id': 21}, {'id_taxonomy_term': 182, 'name': 'Subastas explícitas', 'vocabulary_id': 22}];[{'id_vocabulary': 20, 'name': 'Universo'}, {'id_vocabulary': 21, 'name': 'Temática'}, {'id_vocabulary': 22, 'name': 'Área'}]
Espec_Subasta_Trimestral_PE;150;T;pdf;{'name': 'Espec_Subasta_Trimestral_PE', 'url': '/archives/150/download?date=2025-03-06T23%3A59%3A59T%2B0100&locale=es'};{'date': '2025-03-06T23:59:59.000+01:00'};[];['2024-12-12'];[{'id_taxonomy_term': 156, 'name': 'Mercados y precios', 'vocabulary_id': 20}, {'id_taxonomy_term': 165, 'name': 'Descargas', 'vocabulary_id': 21}, {'id_taxonomy_term': 182, 'name': 'Subastas explícitas', 'vocabulary_id': 22}];[{'id_vocabulary': 20, 'name': 'Universo'}, {'id_vocabulary': 21, 'name': 'Temática'}, {'id_vocabulary': 22, 'name': 'Área'}]
Espec_Subasta_Anual_EP;151;A;pdf;{'name': 'Espec_Subasta_Anual_EP', 'url': '/archives/151/download?date=2025-03-06T23%3A59%3A59T%2B0100&locale=es'};{'date': '2025-03-06T23:59:59.000+01:00'};[];['2024-12-04'];[{'id_taxonomy_term': 156, 'name': 'Mercados y precios', 'vocabulary_id': 20}, {'id_taxonomy_term': 165, 'name': 'Descargas', 'vocabulary_id': 21}, {'id_taxonomy_term': 182, 'name': 'Subastas explícitas', 'vocabulary_id': 22}];[{'id_vocabulary': 20, 'name': 'Universo'}, {'id_vocabulary': 21, 'name': 'Temática'}, {'id_vocabulary': 22, 'name': 'Área'}]
Espec_Subasta_Anual_PE;152;A;pdf;{'name': 'Espec_Subasta_Anual_PE', 'url': '/archives/152/download?date=2025-03-06T23%3A59%3A59T%2B0100&locale=es'};{'date': '2025-03-06T23:59:59.000+01:00'};[];['2024-12-04'];[{'id_taxonomy_term': 156, 'name': 'Mercados y precios', 'vocabulary_id': 20}, {'id_taxonomy_term': 165, 'name': 'Descargas', 'vocabulary_id': 21}, {'id_taxonomy_term': 182, 'name': 'Subastas explícitas', 'vocabulary_id': 22}];[{'id_vocabulary': 20, 'name': 'Universo'}, {'id_vocabulary': 21, 'name': 'Temática'}, {'id_vocabulary': 22, 'name': 'Área'}]
Espec_Subasta_Mensual_EP;147;M;pdf;{'name': 'Espec_Subasta_Mensual_EP', 'url': '/archives/147/download?date=2025-03-06T23%3A59%3A59T%2B0100&locale=es'};{'date': '2025-03-06T23:59:59.000+01:00'};[];['2025-02-20'];[{'id_taxonomy_term': 156, 'name': 'Mercados y precios', 'vocabulary_id': 20}, {'id_taxonomy_term': 165, 'name': 'Descargas', 'vocabulary_id': 21}, {'id_taxonomy_term': 182, 'name': 'Subastas explícitas', 'vocabulary_id': 22}];[{'id_vocabulary': 20, 'name': 'Universo'}, {'id_vocabulary': 21, 'name': 'Temática'}, {'id_vocabulary': 22, 'name': 'Área'}]
Espec_Subasta_Mensual_PE;148;M;pdf;{'name': 'Espec_Subasta_Mensual_PE', 'url': '/archives/148/download?date=2025-03-06T23%3A59%3A59T%2B0100&locale=es'};{'date': '2025-03-06T23:59:59.000+01:00'};[];['2025-02-20'];[{'id_taxonomy_term': 156, 'name': 'Mercados y precios', 'vocabulary_id': 20}, {'id_taxonomy_term': 165, 'name': 'Descargas', 'vocabulary_id': 21}, {'id_taxonomy_term': 182, 'name': 'Subastas explícitas', 'vocabulary_id': 22}];[{'id_vocabulary': 20, 'name': 'Universo'}, {'id_vocabulary': 21, 'name': 'Temática'}, {'id_vocabulary': 22, 'name': 'Área'}]
